componente,ambito,concepto,porcentaje_region,pais,decl,prog,ambos,solo_decl,solo_prog,ninguno,presencia
Educación para el desarrollo sostenible,Acciones,Decisiones participativas,58%,GUA,,,,,,NINGUNO,NINGUNO
Educación para el desarrollo sostenible,Acciones,Decisiones participativas,58%,HON,,,,,,NINGUNO,NINGUNO
Educación para el desarrollo sostenible,Acciones,Decisiones participativas,58%,PAR,,,,,,NINGUNO,NINGUNO
Educación para el desarrollo sostenible,Acciones,Ecología-Ecológicas ,68%,COL,DECL,PROG,AMBOS,,,,AMBOS
Educación para el desarrollo sostenible,Acciones,Ecología-Ecológicas ,68%,CRI,DECL,PROG,AMBOS,,,,AMBOS
Educación para el desarrollo sostenible,Acciones,Ecología-Ecológicas ,68%,CUB,,PROG,,,SOLO PROG,,SOLO PROG
Educación para el desarrollo sostenible,Acciones,Ecología-Ecológicas ,68%,ECU,DECL,,,SOLO DECL,,,SOLO DECL
Educación para el desarrollo sostenible,Acciones,Ecología-Ecológicas ,68%,GUA,DECL,PROG,AMBOS,,,,AMBOS
Educación para el desarrollo sostenible,Acciones,Ecología-Ecológicas ,68%,HON,DECL,PROG,AMBOS,,,,AMBOS
Educación para el desarrollo sostenible,Acciones,Ecología-Ecológicas ,68%,MEX,DECL,,,SOLO DECL,,,SOLO DECL
Educación para el desarrollo sostenible,Acciones,Ecología-Ecológicas ,68%,NIC,,PROG,,,SOLO PROG,,SOLO PROG
Educación para el desarrollo sostenible,Acciones,Ecología-Ecológicas ,68%,PAN,DECL,PROG,AMBOS,,,,AMBOS
Educación para el desarrollo sostenible,Acciones,Ecología-Ecológicas ,68%,PER,,PROG,,,SOLO PROG,,SOLO PROG
Educación para el desarrollo sostenible,Acciones,Ecología-Ecológicas ,68%,REP,DECL,PROG,AMBOS,,,,AMBOS
Educación para el desarrollo sostenible,Acciones,Ecología-Ecológicas ,68%,URU,,PROG,,,SOLO PROG,,SOLO PROG
Educación para el desarrollo sostenible,Acciones,Ecología-Ecológicas ,68%,VEN,DECL,,,SOLO DECL,,,SOLO DECL
Educación para el desarrollo sostenible,Acciones,Ecología-Ecológicas ,68%,ARG,,,,,,NINGUNO,NINGUNO
Educación para el desarrollo sostenible,Acciones,Ecología-Ecológicas ,68%,BOL,,,,,,NINGUNO,NINGUNO
Educación para el desarrollo sostenible,Acciones,Ecología-Ecológicas ,68%,BRA,,,,,,NINGUNO,NINGUNO
Educación para el desarrollo sostenible,Acciones,Ecología-Ecológicas ,68%,CHL,,,,,,NINGUNO,NINGUNO
Educación para el desarrollo sostenible,Acciones,Ecología-Ecológicas ,68%,SAL,,,,,,NINGUNO,NINGUNO
Educación para el desarrollo sostenible,Acciones,Ecología-Ecológicas ,68%,PAR,,,,,,NINGUNO,NINGUNO
Educación para el desarrollo sostenible,Acciones,"Reciclar, Reducir, Reutilizar",47%,BRA,DECL,PROG,AMBOS,,,,AMBOS
Educación para el desarrollo sostenible,Acciones,"Reciclar, Reducir, Reutilizar",47%,CUB,DECL,,,SOLO DECL,,,SOLO DECL
Educación para el desarrollo sostenible,Acciones,"Reciclar, Reducir, Reutilizar",47%,SAL,,PROG,,,SOLO PROG,,SOLO PROG
Educación para el desarrollo sostenible,Acciones,"Reciclar, Reducir, Reutilizar",47%,GUA,,PROG,,,SOLO PROG,,SOLO PROG
Educación para el desarrollo sostenible,Acciones,"Reciclar, Reducir, Reutilizar",47%,MEX,,PROG,,,SOLO PROG,,SOLO PROG
Educación para el desarrollo sostenible,Acciones,"Reciclar, Reducir, Reutilizar",47%,NIC,,PROG,,,SOLO PROG,,SOLO PROG
Educación para el desarrollo sostenible,Acciones,"Reciclar, Reducir, Reutilizar",47%,PAN,,PROG,,,SOLO PROG,,SOLO PROG
Educación para el desarrollo sostenible,Acciones,"Reciclar, Reducir, Reutilizar",47%,PER,DECL,PROG,AMBOS,,,,AMBOS
Educación para el desarrollo sostenible,Acciones,"Reciclar, Reducir, Reutilizar",47%,REP,,PROG,,,SOLO PROG,,SOLO PROG
Educación para el desarrollo sostenible,Acciones,"Reciclar, Reducir, Reutilizar",47%,ARG,,,,,,NINGUNO,NINGUNO
Educación para el desarrollo sostenible,Acciones,"Reciclar, Reducir, Reutilizar",47%,BOL,,,,,,NINGUNO,NINGUNO
Educación para el desarrollo sostenible,Acciones,"Reciclar, Reducir, Reutilizar",47%,CHL,,,,,,NINGUNO,NINGUNO
Educación para el desarrollo sostenible,Acciones,"Reciclar, Reducir, Reutilizar",47%,COL,,,,,,NINGUNO,NINGUNO
Educación para el desarrollo sostenible,Acciones,"Reciclar, Reducir, Reutilizar",47%,CRI,,,,,,NINGUNO,NINGUNO
Educación para el desarrollo sostenible,Acciones,"Reciclar, Reducir, Reutilizar",47%,ECU,,,,,,NINGUNO,NINGUNO
Educación para el desarrollo sostenible,Acciones,"Reciclar, Reducir, Reutilizar",47%,HON,,,,,,NINGUNO,NINGUNO
Educación para el desarrollo sostenible,Acciones,"Reciclar, Reducir, Reutilizar",47%,PAR,,,,,,NINGUNO,NINGUNO
Educación para el desarrollo sostenible,Acciones,"Reciclar, Reducir, Reutilizar",47%,URU,,,,,,NINGUNO,NINGUNO
Educación para el desarrollo sostenible,Acciones,"Reciclar, Reducir, Reutilizar",47%,VEN,,,,,,NINGUNO,NINGUNO
Educación para el desarrollo sostenible,Acciones,Riesgos de desastre,89%,BOL,,PROG,,,SOLO PROG,,SOLO PROG
Educación para el desarrollo sostenible,Acciones,Riesgos de desastre,89%,BRA,,PROG,,,SOLO PROG,,SOLO PROG
Educación para el desarrollo sostenible,Acciones,Riesgos de desastre,89%,CHL,DECL,,,SOLO DECL,,,SOLO DECL
Educación para el desarrollo sostenible,Acciones,Riesgos de desastre,89%,CRI,DECL,PROG,AMBOS,,,,AMBOS
Educación para el desarrollo sostenible,Acciones,Riesgos de desastre,89%,CUB,,PROG,,,SOLO PROG,,SOLO PROG
Educación para el desarrollo sostenible,Acciones,Riesgos de desastre,89%,ECU,DECL,PROG,AMBOS,,,,AMBOS
Educación para el desarrollo sostenible,Acciones,Riesgos de desastre,89%,SAL,,PROG,,,SOLO PROG,,SOLO PROG
Educación para el desarrollo sostenible,Acciones,Riesgos de desastre,89%,GUA,DECL,PROG,AMBOS,,,,AMBOS
Educación para el desarrollo sostenible,Acciones,Riesgos de desastre,89%,HON,,PROG,,,SOLO PROG,,SOLO PROG
Educación para el desarrollo sostenible,Acciones,Riesgos de desastre,89%,MEX,DECL,PROG,AMBOS,,,,AMBOS
Educación para el desarrollo sostenible,Acciones,Riesgos de desastre,89%,NIC,DECL,PROG,AMBOS,,,,AMBOS
Educación para el desarrollo sostenible,Acciones,Riesgos de desastre,89%,PAN,DECL,PROG,AMBOS,,,,AMBOS
Educación para el desarrollo sostenible,Acciones,Riesgos de desastre,89%,PAR,,PROG,,,SOLO PROG,,SOLO PROG
Educación para el desarrollo sostenible,Acciones,Riesgos de desastre,89%,PER,DECL,PROG,AMBOS,,,,AMBOS
Educación para el desarrollo sostenible,Acciones,Riesgos de desastre,89%,REP,DECL,PROG,AMBOS,,,,AMBOS
Educación para el desarrollo sostenible,Acciones,Riesgos de desastre,89%,URU,,PROG,,,SOLO PROG,,SOLO PROG
Educación para el desarrollo sostenible,Acciones,Riesgos de desastre,89%,VEN,DECL,PROG,AMBOS,,,,AMBOS
Educación para el desarrollo sostenible,Acciones,Riesgos de desastre,89%,ARG,,,,,,NINGUNO,NINGUNO
Educación para el desarrollo sostenible,Acciones,Riesgos de desastre,89%,COL,,,,,,NINGUNO,NINGUNO
Educación para el desarrollo sostenible,Acciones,Sustentabilidad-Sustentable,100%,ARG,,PROG,,,SOLO PROG,,SOLO PROG
Educación para el desarrollo sostenible,Acciones,Sustentabilidad-Sustentable,100%,BOL,DECL,PROG,AMBOS,,,,AMBOS
Educación para el desarrollo sostenible,Acciones,Sustentabilidad-Sustentable,100%,BRA,DECL,PROG,AMBOS,,,,AMBOS
Educación para el desarrollo sostenible,Acciones,Sustentabilidad-Sustentable,100%,CHL,DECL,PROG,AMBOS,,,,AMBOS
Educación para el desarrollo sostenible,Acciones,Sustentabilidad-Sustentable,100%,COL,DECL,,,SOLO DECL,,,SOLO DECL
Educación para el desarrollo sostenible,Acciones,Sustentabilidad-Sustentable,100%,CRI,DECL,PROG,AMBOS,,,,AMBOS
Educación para el desarrollo sostenible,Acciones,Sustentabilidad-Sustentable,100%,CUB,DECL,,,SOLO DECL,,,SOLO DECL
Educación para el desarrollo sostenible,Acciones,Sustentabilidad-Sustentable,100%,ECU,DECL,PROG,AMBOS,,,,AMBOS
Educación para el desarrollo sostenible,Acciones,Sustentabilidad-Sustentable,100%,SAL,,PROG,,,SOLO PROG,,SOLO PROG
Educación para el desarrollo sostenible,Acciones,Sustentabilidad-Sustentable,100%,GUA,DECL,PROG,AMBOS,,,,AMBOS
Educación para el desarrollo sostenible,Acciones,Sustentabilidad-Sustentable,100%,HON,DECL,PROG,AMBOS,,,,AMBOS
Educación para el desarrollo sostenible,Acciones,Sustentabilidad-Sustentable,100%,MEX,DECL,PROG,AMBOS,,,,AMBOS
Educación para el desarrollo sostenible,Acciones,Sustentabilidad-Sustentable,100%,NIC,DECL,PROG,AMBOS,,,,AMBOS
Educación para el desarrollo sostenible,Acciones,Sustentabilidad-Sustentable,100%,PAN,DECL,PROG,AMBOS,,,,AMBOS
Educación para el desarrollo sostenible,Acciones,Sustentabilidad-Sustentable,100%,PAR,DECL,PROG,AMBOS,,,,AMBOS
Educación para el desarrollo sostenible,Acciones,Sustentabilidad-Sustentable,100%,PER,DECL,PROG,AMBOS,,,,AMBOS
Educación para el desarrollo sostenible,Acciones,Sustentabilidad-Sustentable,100%,REP,DECL,PROG,AMBOS,,,,AMBOS
Educación para el desarrollo sostenible,Acciones,Sustentabilidad-Sustentable,100%,URU,,PROG,,,SOLO PROG,,SOLO PROG
Educación para el desarrollo sostenible,Acciones,Sustentabilidad-Sustentable,100%,VEN,DECL,PROG,AMBOS,,,,AMBOS
Educación para el desarrollo sostenible,Acciones,"Verde (producción, empleo)",5%,URU,,PROG,,,SOLO PROG,,SOLO PROG
Educación para el desarrollo sostenible,Acciones,"Verde (producción, empleo)",5%,ARG,,,,,,NINGUNO,NINGUNO
Educación para el desarrollo sostenible,Acciones,"Verde (producción, empleo)",5%,BOL,,,,,,NINGUNO,NINGUNO
Educación para el desarrollo sostenible,Acciones,"Verde (producción, empleo)",5%,BRA,,,,,,NINGUNO,NINGUNO
Educación para el desarrollo sostenible,Acciones,"Verde (producción, empleo)",5%,CHL,,,,,,NINGUNO,NINGUNO
Educación para el desarrollo sostenible,Acciones,"Verde (producción, empleo)",5%,COL,,,,,,NINGUNO,NINGUNO
Educación para el desarrollo sostenible,Acciones,"Verde (producción, empleo)",5%,CRI,,,,,,NINGUNO,NINGUNO
Educación para el desarrollo sostenible,Acciones,"Verde (producción, empleo)",5%,CUB,,,,,,NINGUNO,NINGUNO
Educación para el desarrollo sostenible,Acciones,"Verde (producción, empleo)",5%,ECU,,,,,,NINGUNO,NINGUNO
Educación para el desarrollo sostenible,Acciones,"Verde (producción, empleo)",5%,SAL,,,,,,NINGUNO,NINGUNO
Educación para el desarrollo sostenible,Acciones,"Verde (producción, empleo)",5%,GUA,,,,,,NINGUNO,NINGUNO
Educación para el desarrollo sostenible,Acciones,"Verde (producción, empleo)",5%,HON,,,,,,NINGUNO,NINGUNO
Educación para el desarrollo sostenible,Acciones,"Verde (producción, empleo)",5%,MEX,,,,,,NINGUNO,NINGUNO
Educación para el desarrollo sostenible,Acciones,"Verde (producción, empleo)",5%,NIC,,,,,,NINGUNO,NINGUNO
Educación para el desarrollo sostenible,Acciones,"Verde (producción, empleo)",5%,PAN,,,,,,NINGUNO,NINGUNO
Educación para el desarrollo sostenible,Acciones,"Verde (producción, empleo)",5%,PAR,,,,,,NINGUNO,NINGUNO
Educación para el desarrollo sostenible,Acciones,"Verde (producción, empleo)",5%,PER,,,,,,NINGUNO,NINGUNO
Educación para el desarrollo sostenible,Acciones,"Verde (producción, empleo)",5%,REP,,,,,,NINGUNO,NINGUNO
Educación para el desarrollo sostenible,Acciones,"Verde (producción, empleo)",5%,VEN,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Ciudadanía,100%,ARG,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Ciudadanía,100%,BOL,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Ciudadanía,100%,BRA,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Ciudadanía,100%,CHL,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Ciudadanía,100%,COL,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Ciudadanía,100%,CRI,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Ciudadanía,100%,CUB,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Ciudadanía,100%,ECU,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Ciudadanía,100%,SAL,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Ciudadanía,100%,GUA,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Ciudadanía,100%,HON,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Ciudadanía,100%,MEX,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Ciudadanía,100%,NIC,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Ciudadanía,100%,PAN,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Ciudadanía,100%,PAR,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Ciudadanía,100%,PER,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Ciudadanía,100%,REP,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Ciudadanía,100%,URU,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Ciudadanía,100%,VEN,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Colaboración,95%,BOL,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Comunidad,74%,ARG,,PROG,,,SOLO PROG,,SOLO PROG
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Colaboración,95%,BRA,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Colaboración,95%,CHL,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Colaboración,95%,COL,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Colaboración,95%,CRI,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Colaboración,95%,CUB,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Colaboración,95%,ECU,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Colaboración,95%,SAL,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Colaboración,95%,GUA,,PROG,,,SOLO PROG,,SOLO PROG
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Colaboración,95%,HON,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Colaboración,95%,MEX,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Colaboración,95%,NIC,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Colaboración,95%,PAN,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Colaboración,95%,PAR,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Colaboración,95%,PER,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Colaboración,95%,REP,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Colaboración,95%,URU,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Colaboración,95%,VEN,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Comunidad,74%,BRA,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Comunidad,74%,CHL,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Comunidad,74%,COL,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Comunidad,74%,HON,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Comunidad,74%,URU,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Conocimiento sobre ciudadanía,58%,ARG,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Comunidad,74%,BOL,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Comunidad,74%,CRI,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Comunidad,74%,CUB,,PROG,,,SOLO PROG,,SOLO PROG
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Comunidad,74%,ECU,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Comunidad,74%,SAL,,PROG,,,SOLO PROG,,SOLO PROG
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Comunidad,74%,GUA,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Comunidad,74%,MEX,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Comunidad,74%,NIC,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Comunidad,74%,PAN,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Comunidad,74%,PAR,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Comunidad,74%,PER,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Comunidad,74%,REP,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Comunidad,74%,VEN,,PROG,,,SOLO PROG,,SOLO PROG
Educación para la ciudadanía mundial,Globalización y diversidad,Conocimiento del mundo,37%,BOL,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Globalización y diversidad,Conocimiento del mundo,37%,COL,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Globalización y diversidad,Conocimiento del mundo,37%,CRI,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Globalización y diversidad,Conocimiento del mundo,37%,CUB,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Globalización y diversidad,Conocimiento del mundo,37%,ECU,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Globalización y diversidad,Conocimiento del mundo,37%,SAL,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Globalización y diversidad,Conocimiento del mundo,37%,GUA,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Globalización y diversidad,Conocimiento del mundo,37%,HON,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Globalización y diversidad,Conocimiento del mundo,37%,MEX,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Globalización y diversidad,Conocimiento del mundo,37%,NIC,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Globalización y diversidad,Conocimiento del mundo,37%,PAR,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Globalización y diversidad,Conocimiento del mundo,37%,VEN,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Democracia,95%,ARG,,PROG,,,SOLO PROG,,SOLO PROG
Educación para la ciudadanía mundial,Globalización y diversidad,Conocimiento del mundo,37%,BRA,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Globalización y diversidad,Conocimiento del mundo,37%,CHL,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Globalización y diversidad,Conocimiento del mundo,37%,PAN,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Globalización y diversidad,Conocimiento del mundo,37%,PER,,PROG,,,SOLO PROG,,SOLO PROG
Educación para la ciudadanía mundial,Globalización y diversidad,Conocimiento del mundo,37%,REP,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Globalización y diversidad,Conocimiento del mundo,37%,URU,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Conocimiento sobre ciudadanía,58%,BRA,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Conocimiento sobre ciudadanía,58%,CHL,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Conocimiento sobre ciudadanía,58%,CUB,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Conocimiento sobre ciudadanía,58%,ECU,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Conocimiento sobre ciudadanía,58%,SAL,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Conocimiento sobre ciudadanía,58%,HON,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Conocimiento sobre ciudadanía,58%,PAN,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Conocimiento sobre ciudadanía,58%,PAR,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Conocimiento sobre ciudadanía,58%,VEN,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Derechos,95%,ARG,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Conocimiento sobre ciudadanía,58%,BOL,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Conocimiento sobre ciudadanía,58%,COL,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Conocimiento sobre ciudadanía,58%,CRI,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Conocimiento sobre ciudadanía,58%,GUA,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Conocimiento sobre ciudadanía,58%,MEX,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Conocimiento sobre ciudadanía,58%,NIC,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Conocimiento sobre ciudadanía,58%,PER,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Conocimiento sobre ciudadanía,58%,REP,DECL,,,SOLO DECL,,,SOLO DECL
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Conocimiento sobre ciudadanía,58%,URU,DECL,PROG,AMBOS,,,,AMBOS
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Convivencia,74%,BRA,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Convivencia,74%,CHL,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Convivencia,74%,COL,,,,,,NINGUNO,NINGUNO
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Convivencia,74%,ECU,,,,,,NINGUNO,NINGUNO
