componente,ambito,concepto,porcentaje,pais,declarado,programado
Educación para el desarrollo sostenible,Contenidos de cambio climático,Cambio climático,53,CHL,0,0
Educación para el desarrollo sostenible,Contenidos de cambio climático,Cambio climático,53,COL,0,0
Educación para el desarrollo sostenible,Contenidos de cambio climático,Cambio climático,53,CRI,0,0
Educación para el desarrollo sostenible,Contenidos de cambio climático,Cambio climático,53,CUB,1,1
Educación para el desarrollo sostenible,Contenidos de cambio climático,Cambio climático,53,ECU,1,1
Educación para el desarrollo sostenible,Contenidos de cambio climático,Cambio climático,53,GUA,1,0
Educación para el desarrollo sostenible,Contenidos de cambio climático,Cambio climático,53,HON,0,0
Educación para el desarrollo sostenible,Contenidos de cambio climático,Cambio climático,53,MEX,1,1
Educación para el desarrollo sostenible,Contenidos de cambio climático,Cambio climático,53,NIC,0,1
Educación para el desarrollo sostenible,Contenidos de cambio climático,Cambio climático,53,PAN,0,1
Educación para el desarrollo sostenible,Contenidos de cambio climático,Cambio climático,53,PAR,0,0
Educación para el desarrollo sostenible,Contenidos de cambio climático,Cambio climático,53,PER,1,1
Educación para el desarrollo sostenible,Contenidos de cambio climático,Cambio climático,53,REP,0,1
Educación para el desarrollo sostenible,Contenidos de cambio climático,Cambio climático,53,SAL,0,0
Educación para el desarrollo sostenible,Contenidos de cambio climático,Cambio climático,53,URU,0,1
Educación para el desarrollo sostenible,Contenidos de cambio climático,Cambio climático,53,VEN,0,0
Educación para el desarrollo sostenible,Contenidos de cambio climático,"Carbono (bajo, niveles)",5,ARG,0,0
Educación para el desarrollo sostenible,Contenidos de cambio climático,"Carbono (bajo, niveles)",5,BOL,0,0
Educación para el desarrollo sostenible,Contenidos de cambio climático,"Carbono (bajo, niveles)",5,BRA,0,1
Educación para el desarrollo sostenible,Contenidos de cambio climático,"Carbono (bajo, niveles)",5,CHL,0,0
Educación para el desarrollo sostenible,Contenidos de cambio climático,"Carbono (bajo, niveles)",5,COL,0,0
Educación para el desarrollo sostenible,Contenidos de cambio climático,"Carbono (bajo, niveles)",5,CRI,0,0
Educación para el desarrollo sostenible,Contenidos de cambio climático,"Carbono (bajo, niveles)",5,CUB,0,0
Educación para el desarrollo sostenible,Contenidos de cambio climático,"Carbono (bajo, niveles)",5,ECU,0,0
Educación para el desarrollo sostenible,Contenidos de cambio climático,"Carbono (bajo, niveles)",5,GUA,0,0
Educación para el desarrollo sostenible,Contenidos de cambio climático,"Carbono (bajo, niveles)",5,HON,0,0
Educación para el desarrollo sostenible,Contenidos de cambio climático,"Carbono (bajo, niveles)",5,MEX,0,0
Educación para el desarrollo sostenible,Contenidos de cambio climático,"Carbono (bajo, niveles)",5,NIC,0,0
Educación para el desarrollo sostenible,Contenidos de cambio climático,"Carbono (bajo, niveles)",5,PAN,0,0
Educación para el desarrollo sostenible,Contenidos de cambio climático,"Carbono (bajo, niveles)",5,PAR,0,0
Educación para el desarrollo sostenible,Contenidos de cambio climático,"Carbono (bajo, niveles)",5,PER,0,0
Educación para el desarrollo sostenible,Contenidos de cambio climático,"Carbono (bajo, niveles)",5,REP,0,0
Educación para el desarrollo sostenible,Contenidos de cambio climático,"Carbono (bajo, niveles)",5,SAL,0,0
Educación para el desarrollo sostenible,Contenidos de cambio climático,"Carbono (bajo, niveles)",5,URU,0,0
Educación para el desarrollo sostenible,Contenidos de cambio climático,"Carbono (bajo, niveles)",5,VEN,0,0
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Ciudadanía,100,ARG,1,0
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Ciudadanía,100,BOL,1,0
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Ciudadanía,100,BRA,1,1
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Ciudadanía,100,CHL,1,0
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Ciudadanía,100,COL,1,1
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Ciudadanía,100,CRI,1,0
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Ciudadanía,100,CUB,1,1
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Ciudadanía,100,ECU,1,1
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Ciudadanía,100,GUA,1,1
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Ciudadanía,100,HON,1,1
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Ciudadanía,100,MEX,1,1
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Ciudadanía,100,NIC,1,0
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Ciudadanía,100,PAN,1,0
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Ciudadanía,100,PAR,1,0
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Ciudadanía,100,PER,1,1
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Ciudadanía,100,REP,1,1
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Ciudadanía,100,SAL,1,1
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Ciudadanía,100,URU,1,0
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Ciudadanía,100,VEN,1,1
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Colaboración,95,ARG,1,0
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Colaboración,95,BOL,0,0
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Colaboración,95,BRA,1,1
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Colaboración,95,CHL,1,0
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Colaboración,95,COL,1,0
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Colaboración,95,CRI,1,1
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Colaboración,95,CUB,1,1
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Colaboración,95,ECU,1,1
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Colaboración,95,GUA,0,1
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Colaboración,95,HON,1,1
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Colaboración,95,MEX,1,1
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Colaboración,95,NIC,1,1
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Colaboración,95,PAN,1,1
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Colaboración,95,PAR,1,0
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Colaboración,95,PER,1,1
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Colaboración,95,REP,1,1
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Colaboración,95,SAL,1,1
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Colaboración,95,URU,1,0
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Colaboración,95,VEN,1,1
Educación para el desarrollo sostenible,Habilidades,Comprensión de sistemas complejos,42,ARG,0,1
Educación para el desarrollo sostenible,Habilidades,Comprensión de sistemas complejos,42,BOL,0,0
Educación para el desarrollo sostenible,Habilidades,Comprensión de sistemas complejos,42,BRA,1,1
Educación para el desarrollo sostenible,Habilidades,Comprensión de sistemas complejos,42,CHL,0,0
Educación para el desarrollo sostenible,Habilidades,Comprensión de sistemas complejos,42,COL,1,0
Educación para el desarrollo sostenible,Habilidades,Comprensión de sistemas complejos,42,CRI,0,0
Educación para el desarrollo sostenible,Habilidades,Comprensión de sistemas complejos,42,CUB,1,0
Educación para el desarrollo sostenible,Habilidades,Comprensión de sistemas complejos,42,ECU,1,0
Educación para el desarrollo sostenible,Habilidades,Comprensión de sistemas complejos,42,GUA,0,0
Educación para el desarrollo sostenible,Habilidades,Comprensión de sistemas complejos,42,HON,1,0
Educación para el desarrollo sostenible,Habilidades,Comprensión de sistemas complejos,42,MEX,0,0
Educación para el desarrollo sostenible,Habilidades,Comprensión de sistemas complejos,42,NIC,0,0
Educación para el desarrollo sostenible,Habilidades,Comprensión de sistemas complejos,42,PAN,0,0
Educación para el desarrollo sostenible,Habilidades,Comprensión de sistemas complejos,42,PAR,0,0
Educación para el desarrollo sostenible,Habilidades,Comprensión de sistemas complejos,42,PER,0,1
Educación para el desarrollo sostenible,Habilidades,Comprensión de sistemas complejos,42,REP,0,0
Educación para el desarrollo sostenible,Habilidades,Comprensión de sistemas complejos,42,SAL,0,0
Educación para el desarrollo sostenible,Habilidades,Comprensión de sistemas complejos,42,URU,1,0
Educación para el desarrollo sostenible,Habilidades,Comprensión de sistemas complejos,42,VEN,0,0
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Comunidad,74,ARG,0,1
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Comunidad,74,BOL,1,1
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Comunidad,74,BRA,0,0
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Comunidad,74,CHL,0,0
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Comunidad,74,COL,0,0
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Comunidad,74,CRI,1,0
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Comunidad,74,CUB,0,1
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Comunidad,74,ECU,1,1
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Comunidad,74,GUA,1,1
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Comunidad,74,HON,0,0
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Comunidad,74,MEX,1,0
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Comunidad,74,NIC,1,0
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Comunidad,74,PAN,1,0
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Comunidad,74,PAR,1,0
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Comunidad,74,PER,1,1
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Comunidad,74,REP,1,1
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Comunidad,74,SAL,0,1
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Comunidad,74,URU,0,0
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Comunidad,74,VEN,0,1
Educación para la ciudadanía mundial,Globalización y diversidad,Conocimiento del mundo,37,ARG,0,0
Educación para la ciudadanía mundial,Globalización y diversidad,Conocimiento del mundo,37,BOL,0,0
Educación para la ciudadanía mundial,Globalización y diversidad,Conocimiento del mundo,37,BRA,1,0
Educación para la ciudadanía mundial,Globalización y diversidad,Conocimiento del mundo,37,CHL,1,1
Educación para la ciudadanía mundial,Globalización y diversidad,Conocimiento del mundo,37,COL,0,0
Educación para la ciudadanía mundial,Globalización y diversidad,Conocimiento del mundo,37,CRI,0,0
Educación para la ciudadanía mundial,Globalización y diversidad,Conocimiento del mundo,37,CUB,0,0
Educación para la ciudadanía mundial,Globalización y diversidad,Conocimiento del mundo,37,ECU,0,0
Educación para la ciudadanía mundial,Globalización y diversidad,Conocimiento del mundo,37,GUA,0,0
Educación para la ciudadanía mundial,Globalización y diversidad,Conocimiento del mundo,37,HON,0,0
Educación para la ciudadanía mundial,Globalización y diversidad,Conocimiento del mundo,37,MEX,0,0
Educación para la ciudadanía mundial,Globalización y diversidad,Conocimiento del mundo,37,NIC,0,0
Educación para la ciudadanía mundial,Globalización y diversidad,Conocimiento del mundo,37,PAN,1,0
Educación para la ciudadanía mundial,Globalización y diversidad,Conocimiento del mundo,37,PAR,0,0
Educación para la ciudadanía mundial,Globalización y diversidad,Conocimiento del mundo,37,PER,0,1
Educación para la ciudadanía mundial,Globalización y diversidad,Conocimiento del mundo,37,REP,1,1
Educación para la ciudadanía mundial,Globalización y diversidad,Conocimiento del mundo,37,SAL,0,0
Educación para la ciudadanía mundial,Globalización y diversidad,Conocimiento del mundo,37,URU,1,0
Educación para la ciudadanía mundial,Globalización y diversidad,Conocimiento del mundo,37,VEN,0,0
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Conocimiento sobre ciudadanía,58,ARG,1,0
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Conocimiento sobre ciudadanía,58,BOL,1,0
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Conocimiento sobre ciudadanía,58,BRA,0,0
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Conocimiento sobre ciudadanía,58,CHL,0,0
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Conocimiento sobre ciudadanía,58,COL,1,0
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Conocimiento sobre ciudadanía,58,CRI,1,0
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Conocimiento sobre ciudadanía,58,CUB,0,0
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Conocimiento sobre ciudadanía,58,ECU,0,0
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Conocimiento sobre ciudadanía,58,GUA,1,0
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Conocimiento sobre ciudadanía,58,HON,0,0
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Conocimiento sobre ciudadanía,58,MEX,1,0
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Conocimiento sobre ciudadanía,58,NIC,1,1
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Conocimiento sobre ciudadanía,58,PAN,0,0
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Conocimiento sobre ciudadanía,58,PAR,0,0
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Conocimiento sobre ciudadanía,58,PER,1,0
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Conocimiento sobre ciudadanía,58,REP,1,0
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Conocimiento sobre ciudadanía,58,SAL,0,0
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Conocimiento sobre ciudadanía,58,URU,1,1
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Conocimiento sobre ciudadanía,58,VEN,0,0
Educación para el desarrollo sostenible,Contenidos de cambio climático,Contaminación,58,ARG,0,0
Educación para el desarrollo sostenible,Contenidos de cambio climático,Contaminación,58,BOL,0,0
Educación para el desarrollo sostenible,Contenidos de cambio climático,Contaminación,58,BRA,0,0
Educación para el desarrollo sostenible,Contenidos de cambio climático,Contaminación,58,CHL,0,1
Educación para el desarrollo sostenible,Contenidos de cambio climático,Contaminación,58,COL,1,0
Educación para el desarrollo sostenible,Contenidos de cambio climático,Contaminación,58,CRI,0,0
Educación para el desarrollo sostenible,Contenidos de cambio climático,Contaminación,58,CUB,0,1
Educación para el desarrollo sostenible,Contenidos de cambio climático,Contaminación,58,ECU,0,1
Educación para el desarrollo sostenible,Contenidos de cambio climático,Contaminación,58,GUA,0,0
Educación para el desarrollo sostenible,Contenidos de cambio climático,Contaminación,58,HON,0,1
Educación para el desarrollo sostenible,Contenidos de cambio climático,Contaminación,58,MEX,0,1
Educación para el desarrollo sostenible,Contenidos de cambio climático,Contaminación,58,NIC,0,0
Educación para el desarrollo sostenible,Contenidos de cambio climático,Contaminación,58,PAN,0,1
Educación para el desarrollo sostenible,Contenidos de cambio climático,Contaminación,58,PAR,0,1
Educación para el desarrollo sostenible,Contenidos de cambio climático,Contaminación,58,PER,1,1
Educación para el desarrollo sostenible,Contenidos de cambio climático,Contaminación,58,REP,0,1
Educación para el desarrollo sostenible,Contenidos de cambio climático,Contaminación,58,SAL,0,1
Educación para el desarrollo sostenible,Contenidos de cambio climático,Contaminación,58,URU,0,0
Educación para el desarrollo sostenible,Contenidos de cambio climático,Contaminación,58,VEN,0,0
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Convivencia,74,ARG,1,1
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Convivencia,74,BOL,1,1
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Convivencia,74,BRA,0,0
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Convivencia,74,CHL,0,0
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Convivencia,74,COL,0,0
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Convivencia,74,CRI,1,0
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Convivencia,74,CUB,1,1
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Convivencia,74,ECU,0,0
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Convivencia,74,GUA,1,1
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Convivencia,74,HON,1,0
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Convivencia,74,MEX,1,1
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Convivencia,74,NIC,1,1
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Convivencia,74,PAN,0,0
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Convivencia,74,PAR,1,1
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Convivencia,74,PER,1,1
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Convivencia,74,REP,1,1
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Convivencia,74,SAL,0,0
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Convivencia,74,URU,1,0
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Convivencia,74,VEN,1,0
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Creatividad,79,ARG,0,0
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Creatividad,79,BOL,1,0
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Creatividad,79,BRA,1,1
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Creatividad,79,CHL,1,1
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Creatividad,79,COL,0,0
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Creatividad,79,CRI,1,1
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Creatividad,79,CUB,0,0
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Creatividad,79,ECU,1,1
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Creatividad,79,GUA,1,0
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Creatividad,79,HON,1,1
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Creatividad,79,MEX,1,0
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Creatividad,79,NIC,1,1
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Creatividad,79,PAN,0,0
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Creatividad,79,PAR,1,0
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Creatividad,79,PER,1,1
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Creatividad,79,REP,1,1
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Creatividad,79,SAL,0,0
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Creatividad,79,URU,1,0
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Creatividad,79,VEN,1,0
Educación para el desarrollo sostenible,Acciones,Decisiones participativas,58,ARG,0,0
Educación para el desarrollo sostenible,Acciones,Decisiones participativas,58,BOL,0,0
Educación para el desarrollo sostenible,Acciones,Decisiones participativas,58,BRA,1,1
Educación para el desarrollo sostenible,Acciones,Decisiones participativas,58,CHL,0,0
Educación para el desarrollo sostenible,Acciones,Decisiones participativas,58,COL,1,0
Educación para el desarrollo sostenible,Acciones,Decisiones participativas,58,CRI,1,0
Educación para el desarrollo sostenible,Acciones,Decisiones participativas,58,CUB,1,1
Educación para el desarrollo sostenible,Acciones,Decisiones participativas,58,ECU,0,0
Educación para el desarrollo sostenible,Acciones,Decisiones participativas,58,GUA,0,0
Educación para el desarrollo sostenible,Acciones,Decisiones participativas,58,HON,0,0
Educación para el desarrollo sostenible,Acciones,Decisiones participativas,58,MEX,0,1
Educación para el desarrollo sostenible,Acciones,Decisiones participativas,58,NIC,0,1
Educación para el desarrollo sostenible,Acciones,Decisiones participativas,58,PAN,1,0
Educación para el desarrollo sostenible,Acciones,Decisiones participativas,58,PAR,0,0
Educación para el desarrollo sostenible,Acciones,Decisiones participativas,58,PER,1,0
Educación para el desarrollo sostenible,Acciones,Decisiones participativas,58,REP,1,1
Educación para el desarrollo sostenible,Acciones,Decisiones participativas,58,SAL,0,0
Educación para el desarrollo sostenible,Acciones,Decisiones participativas,58,URU,1,0
Educación para el desarrollo sostenible,Acciones,Decisiones participativas,58,VEN,1,0
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Democracia,95,ARG,0,1
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Democracia,95,BOL,1,1
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Democracia,95,BRA,1,0
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Democracia,95,CHL,0,0
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Democracia,95,COL,1,1
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Democracia,95,CRI,1,0
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Democracia,95,CUB,1,1
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Democracia,95,ECU,1,1
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Democracia,95,GUA,1,1
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Democracia,95,HON,1,1
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Democracia,95,MEX,1,1
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Democracia,95,NIC,1,1
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Democracia,95,PAN,1,0
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Democracia,95,PAR,1,1
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Democracia,95,PER,1,1
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Democracia,95,REP,1,1
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Democracia,95,SAL,1,1
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Democracia,95,URU,1,0
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Democracia,95,VEN,1,1
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Derechos,95,ARG,1,1
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Derechos,95,BOL,1,0
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Derechos,95,BRA,1,0
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Derechos,95,CHL,0,0
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Derechos,95,COL,1,1
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Derechos,95,CRI,1,1
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Derechos,95,CUB,1,1
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Derechos,95,ECU,1,1
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Derechos,95,GUA,1,1
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Derechos,95,HON,1,1
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Derechos,95,MEX,1,1
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Derechos,95,NIC,1,1
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Derechos,95,PAN,1,1
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Derechos,95,PAR,1,1
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Derechos,95,PER,1,1
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Derechos,95,REP,1,1
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Derechos,95,SAL,1,1
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Derechos,95,URU,1,1
Educación para la ciudadanía mundial,Elementos constitutivos de la ciudadanía,Derechos,95,VEN,1,0
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Diálogo,95,ARG,1,1
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Diálogo,95,BOL,1,1
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Diálogo,95,BRA,1,1
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Diálogo,95,CHL,1,1
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Diálogo,95,COL,1,1
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Diálogo,95,CRI,1,1
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Diálogo,95,CUB,1,1
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Diálogo,95,ECU,1,1
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Diálogo,95,GUA,1,1
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Diálogo,95,HON,1,1
Educación para la ciudadanía mundial,Valores sobre cómo vivir juntos,Diálogo,95,MEX,1,1
