pais,codigo,porcentaje_3grado,porcentaje_6grado,comparativo_barra,letra_magn,letra_ord,nombre_categoria,materia,ej_3grado,ej_6grado
ARG,ar,43,22,Argentina,1,C,Lectura Diversidad Textual,Lectura,"La lectura asidua de textos leídos por ellos (en silencio o en voz alta) o por el docente y otros adultos en voz alta (de manera habitual y sistemática): cuentos, fábulas, leyendas y otros textos narrativos literarios; poesías, coplas, adivinanzas, y otros géneros poéticos; y de textos no literarios como descubrimientos, historias de vida, descripciones de objetos, animales, personas, lugares y procesos, notas de enciclopedia sobre diferentes contenidos que se están estudiando o sobre temas de interés para los niños, entre otros (3° grado). ","La lectura (comprensión y disfrute) de obras literarias de tradición oral (relatos, cuentos, mitos, fábulas, leyendas, parábolas, romances, coplas, entre otras) y de obras literarias de autor (novelas, cuentos, relatos, poesías, canciones, obras de teatro, entre otras) para (…) realizar interpretaciones personales teniendo en cuenta los indicios que da el texto y las características del género al que pertenece (…) (6° grado)."
ARG,ar,43,22,Argentina,1,A,Comprensión lectora literal e inferencial,Lectura,La comprensión de textos explicativos leídos en colaboración con el docente (3° grado).,"(…) relacionar los datos del texto con sus conocimientos; realizar inferencias; detectar la información relevante; establecer relaciones entre el texto, las ilustraciones y/o los esquemas que puedan acompañarlo; inferir el significado de las palabras desconocidas (…) (6° grado)."
ARG,ar,0,11,Argentina,1,D,Estrategias de lectura,Lectura,No hay ejemplos en el currículo de este país.,"(…) poner en juego, con la colaboración del docente, estrategias de lectura adecuadas a la clase de texto y al propósito de la lectura (…); reconocer procedimientos propios del texto leído y emplear diversas estrategias para recuperar posteriormente la información relevante de manera resumida según el propósito (…). Monitorear los propios procesos de comprensión, recuperando lo que se entiende e identificando y buscando mejorar la comprensión de lo que no se ha entendido, a través de preguntas al docente y la relectura (6° grado)."
ARG,ar,14,11,Argentina,1,B,Decodificación,Lectura,"El uso de signos de puntuación para la lectura y la escritura de textos: punto (y uso de mayúsculas después del punto), coma en enumeración y signos de interrogación y exclamación (3° grado).",(…) Leer con fluidez frente a un auditorio en situaciones que le den sentido a esta práctica (6° año).
ARG,ar,0,33,Argentina,1,E,Reflexión y evaluación,Lectura,No hay ejemplos en el currículo de este país.,"(…) realizar interpretaciones personales teniendo en cuenta los indicios que da el texto y las características del género al que pertenece, como también expresar las emociones y sentimientos que genera la obra y compartir significados con otros lectores (sus pares, el docente, otros adultos); formarse como lector de literatura (6° grado)."
ARG,ar,,0,Argentina,1,A,"Ciencia, tecnología y sociedad",Ciencias,No hay ejemplos en el currículo de este país.,No hay ejemplos en el currículo de este país.
ARG,ar,,13,Argentina,1,B,Cuerpo humano y salud,Ciencias,No hay ejemplos en el currículo de este país.,El reconocimiento de la importancia de la prevención de enfermedades relacionadas con los sistemas de órganos. (6° grado)
ARG,ar,,20,Argentina,1,C,Ecología y medioambiente,Ciencias,No hay ejemplos en el currículo de este país.,"Modelos de nutrición en un ecosistema, relaciones que se establecen entre los organismos representativos de cada modelo.  Relaciones tróficas y su representación gráfica mediante redes y cadenas."
ARG,ar,,27,Argentina,1,D,La energía y sus manifestaciones,Ciencias,No hay ejemplos en el currículo de este país.,El reconocimiento del calor como una forma de transferencia de energía. (6° grado)
ARG,ar,,13,Argentina,1,E,La materia y sus transformaciones,Ciencias,No hay ejemplos en el currículo de este país.,
ARG,ar,,7,Argentina,1,G,Seres vivos,Ciencias,No hay ejemplos en el currículo de este país.,El acercamiento a la noción de célula como unidad estructural y funcional desde la perspectiva de los niveles de organización de los seres vivos.
ARG,ar,,20,Argentina,1,F,La tierra y el universo,Ciencias,No hay ejemplos en el currículo de este país.,Describir los cuerpos que integran el Sistema Solar; movimiento de traslación de los planetas en torno al Sol. (6° grado)
ARG,ar,9,9,Promedio América Latina,1,A,Estadística y probabilidad,Matemáticas,,
ARG,ar,21,23,Promedio América Latina,1,B,Geometría,Matemáticas,,
ARG,ar,22,18,Promedio América Latina,1,C,Magnitudes y medidas,Matemáticas,,
ARG,ar,43,47,Promedio América Latina,1,D,Número y operaciones,Matemáticas,,
ARG,ar,5,4,Promedio América Latina,1,E,Patrones y álgebra,Matemáticas,,
ARG,ar,29,29,Promedio América Latina,1,B,Conocimiento sobre el código,Escritura,,
ARG,ar,26,23,Promedio América Latina,1,E,Procesos involucrados en la escritura,Escritura,,
ARG,ar,21,23,Promedio América Latina,1,C,Escritura Diversidad Textual,Escritura,,
ARG,ar,15,15,Promedio América Latina,1,D,Morfosintaxis,Escritura,,
ARG,ar,9,9,Promedio América Latina,1,A,Coherencia y cohesión,Escritura,,
ARG,ar,34,39,Promedio América Latina,1,C,Lectura Diversidad Textual,Lectura,,
ARG,ar,27,23,Promedio América Latina,1,A,Comprensión lectora literal e inferencial,Lectura,,
ARG,ar,20,19,Promedio América Latina,1,D,Estrategias de lectura,Lectura,,
ARG,ar,11,4,Promedio América Latina,1,B,Decodificación,Lectura,,
ARG,ar,8,14,Promedio América Latina,1,E,Reflexión y evaluación,Lectura,,
ARG,ar,,17,Promedio América Latina,1,A,"Ciencia, tecnología y sociedad",Ciencias,,
ARG,ar,,23,Promedio América Latina,1,B,Cuerpo humano y salud,Ciencias,,
ARG,ar,,12,Promedio América Latina,1,C,Ecología y medioambiente,Ciencias,,
ARG,ar,,11,Promedio América Latina,1,D,La energía y sus manifestaciones,Ciencias,,
ARG,ar,,7,Promedio América Latina,1,E,La materia y sus transformaciones,Ciencias,,
ARG,ar,,13,Promedio América Latina,1,G,Seres vivos,Ciencias,,
ARG,ar,,17,Promedio América Latina,1,F,La tierra y el universo,Ciencias,,
BOL,bo,3,3,Bolivia,1,A,Estadística y probabilidad,Matemáticas,"Datos estadísticos representación pictográfica de números naturales hasta el 1.
(3° grado)","Tablas estadísticas: Lineales, circulares y de barra.
(6° grado)"
BOL,bo,25,48,Bolivia,1,B,Geometría,Matemáticas,"Construir y copiar modelos hechos con formas bi y tridimensionales, con diferentes formas y materiales (Ej.: tipos de papel e instrumentos).
(3° grado)","Descripción y explicación de los cuerpos geométricos, medidas, ángulos, uso de números naturales y las potencias, raíces y propiedades en las aplicaciones tecnológicas.
(6° grado)"
BOL,bo,19,10,Bolivia,1,C,Magnitudes y medidas,Matemáticas,"Relación de equivalencias en fracciones de medidas de peso, longitud y capacidad.
(3° grado)
","Unidad de medidas de volumen.
(6° grado)"
BOL,bo,53,39,Bolivia,1,D,Número y operaciones,Matemáticas,"Aplicar la multiplicación en la resolución de problemas en actividades comerciales.
(3° grado).","Potencias y sus propiedades en diversas aplicaciones tecnológicas.
(6° grado)."
BOL,bo,0,0,Bolivia,1,E,Patrones y álgebra,Matemáticas,No hay ejemplos en el currículo de este país.,No hay ejemplos en el currículo de este país.
BOL,bo,15,21,Bolivia,1,B,Conocimiento sobre el código,Escritura,"Libreto sobre temática ambiental para títeres elaborado de manera colectiva (…).  Construcción colectiva de libreto sobre temas de manejo equilibrado de los recursos de la naturaleza de la provincia identificando hiatos y diptongos, para la presentación de títeres o marionetas (3° grado).",Préstamos lingüísticos de la diversidad cultural en la expresión oral y escrita (6° grado).
BOL,bo,30,26,Bolivia,1,E,Procesos involucrados en la escritura,Escritura,"Libreto sobre temática ambiental para títeres elaborado de manera colectiva (…). Presentación de títeres y exposición de libretos sobre temas ambientales, transcritos e ilustrados en el programa Word –Paint (3° grado).","Características y técnicas de producción (…)
de textos informativos (oficios, actas, votos resolutivos y convocatorias) y poéticos relacionados con la Madre Tierra.  "
BOL,bo,45,42,Bolivia,1,C,Escritura Diversidad Textual,Escritura,"Acontecimientos socioculturales de la provincia: Prácticas orales y escritas (exposiciones, entrevistas, discursos y diálogos) (3° grado).","Texto expositivo sobre el calentamiento global: Escritura de un artículo con el uso de género, numero, modo y tiempo en la oración (6° grado)."
BOL,bo,10,11,Bolivia,1,D,Morfosintaxis,Escritura,"Textos narrativos imaginarios y reales del municipio y provincia, identificando sustantivos y adjetivos (3° grado).","Texto expositivo sobre el calentamiento global: Escritura de un artículo con el uso de género, numero, modo y tiempo en la oración (6° grado)."
BOL,bo,0,0,Bolivia,1,A,Coherencia y cohesión,Escritura,No hay ejemplos en el currículo de este país.,No hay ejemplos en el currículo de este país.
BOL,bo,75,86,Bolivia,1,C,Lectura Diversidad Textual,Lectura,"Textos comunicativos usados en las relaciones sociales y culturales: La carta, periódicos murales e instructivos (3° grado).","Características y técnicas de producción, lectura y exposición de textos informativos (oficios, actas, votos resolutivos y convocatorias) y poéticos relacionados con la Madre Tierra (6° grado)."
BOL,bo,8,10,Bolivia,1,A,Comprensión lectora literal e inferencial,Lectura,"Conjuntos musicales e interpretación de canciones
relacionadas a las actividades socioculturales del
municipio y provincia (3° grado).","Mitos y leyendas del Abya Yala: Lectura e interpretación
con la identificación de oraciones simples (6° grado)."
BOL,bo,0,0,Bolivia,1,D,Estrategias de lectura,Lectura,No hay ejemplos en el currículo de este país.,No hay ejemplos en el currículo de este país.
BOL,bo,0,0,Bolivia,1,B,Decodificación,Lectura,No hay ejemplos en el currículo de este país.,No hay ejemplos en el currículo de este país.
BOL,bo,17,5,Bolivia,1,E,Reflexión y evaluación,Lectura,"Función social de los medios de comunicación:
Veracidad e imparcialidad (3° grado).",Sucesos históricos y actuales: Intenciones comunicativas y características lingüísticas (6° grado).
BOL,bo,,9,Bolivia,1,A,"Ciencia, tecnología y sociedad",Ciencias,No hay ejemplos en el currículo de este país.,Alteraciones genéticas en la producción de plantas y animales: Alimentos transgénicos y sus consecuencias.
BOL,bo,,39,Bolivia,1,B,Cuerpo humano y salud,Ciencias,No hay ejemplos en el currículo de este país.,"Trastornos y desequilibrios alimenticios: Desnutrición, obesidad, bulimia, anorexia."
BOL,bo,,9,Bolivia,1,C,Ecología y medioambiente,Ciencias,No hay ejemplos en el currículo de este país.,Biodiversidad: recuperación y cuidado de especies en extinción.
BOL,bo,,0,Bolivia,1,D,La energía y sus manifestaciones,Ciencias,No hay ejemplos en el currículo de este país.,No hay ejemplos en el currículo de este país.
BOL,bo,,0,Bolivia,1,E,La materia y sus transformaciones,Ciencias,No hay ejemplos en el currículo de este país.,No hay ejemplos en el currículo de este país.
BOL,bo,,9,Bolivia,1,G,Seres vivos,Ciencias,No hay ejemplos en el currículo de este país.,"Microcosmos: célula como unidad de vida, estructura y sus funciones biológicas."
BOL,bo,,33,Bolivia,1,F,La tierra y el universo,Ciencias,No hay ejemplos en el currículo de este país.,"Líneas imaginarias del planeta Tierra: Posiciones astronómicas, meridiano, paralelas, latitudes, longitudes."
BOL,bo,9,9,Promedio América Latina,1,A,Estadística y probabilidad,Matemáticas,,
BOL,bo,21,23,Promedio América Latina,1,B,Geometría,Matemáticas,,
BOL,bo,22,18,Promedio América Latina,1,C,Magnitudes y medidas,Matemáticas,,
BOL,bo,43,47,Promedio América Latina,1,D,Número y operaciones,Matemáticas,,
BOL,bo,5,4,Promedio América Latina,1,E,Patrones y álgebra,Matemáticas,,
BOL,bo,29,29,Promedio América Latina,1,B,Conocimiento sobre el código,Escritura,,
BOL,bo,26,23,Promedio América Latina,1,E,Procesos involucrados en la escritura,Escritura,,
BOL,bo,21,23,Promedio América Latina,1,C,Escritura Diversidad Textual,Escritura,,
BOL,bo,15,15,Promedio América Latina,1,D,Morfosintaxis,Escritura,,
BOL,bo,9,9,Promedio América Latina,1,A,Coherencia y cohesión,Escritura,,
BOL,bo,34,39,Promedio América Latina,1,C,Lectura Diversidad Textual,Lectura,,
BOL,bo,27,23,Promedio América Latina,1,A,Comprensión lectora literal e inferencial,Lectura,,
BOL,bo,20,19,Promedio América Latina,1,D,Estrategias de lectura,Lectura,,
BOL,bo,11,4,Promedio América Latina,1,B,Decodificación,Lectura,,
BOL,bo,8,14,Promedio América Latina,1,E,Reflexión y evaluación,Lectura,,
BOL,bo,,17,Promedio América Latina,1,A,"Ciencia, tecnología y sociedad",Ciencias,,
BOL,bo,,23,Promedio América Latina,1,B,Cuerpo humano y salud,Ciencias,,
BOL,bo,,12,Promedio América Latina,1,C,Ecología y medioambiente,Ciencias,,
BOL,bo,,11,Promedio América Latina,1,D,La energía y sus manifestaciones,Ciencias,,
BOL,bo,,7,Promedio América Latina,1,E,La materia y sus transformaciones,Ciencias,,
BOL,bo,,13,Promedio América Latina,1,G,Seres vivos,Ciencias,,
BOL,bo,,17,Promedio América Latina,1,F,La tierra y el universo,Ciencias,,
BRA,br,13,14,Brasil,1,A,Estadística y probabilidad,Matemáticas,"Leitura e interpretação de dados apresentados de maneira organizada (por meio de listas, tabelas, diagramas e gráficos) e construção dessas representações.","Coleta, organização de dados e utilização de recursos visuais adequados (fluxogramas, tabelas e gráficos) para sintetizá-los, comunicá-los e permitir a elaboração de conclusões."
BRA,br,30,28,Brasil,1,B,Geometría,Matemáticas,"Reconhecimento de semelhanças e diferenças entre corpos redondos, como a esfera, o cone, o cilindro e outros.",Composição e decomposição de figuras planas.
BRA,br,19,12,Brasil,1,C,Magnitudes y medidas,Matemáticas,Comparação de medidas de uma mesma grandeza.,"Reconhecimento de grandezas como comprimento, massa, capacidade, superfície, volume, ângulo, tempo, temperatura, velocidade e identificação de unidades adequadas
(padronizadas ou não) para medi-las, fazendo uso de terminologia própria."
BRA,br,39,41,Brasil,1,D,Número y operaciones,Matemáticas,"Compreensão e utilização das regras do sistema de numeração decimal, para leitura, escrita, comparação e ordenação de números naturais de qualquer ordem de grandeza.
(3° grado)","Regras e símbolos que o caracterizam e extensão das regras desse sistema para leitura, escrita e representação dos números racionais na forma decimal."
BRA,br,0,5,Brasil,1,E,Patrones y álgebra,Matemáticas,No hay ejemplos en el currículo de este país.,
BRA,br,8,33,Brasil,1,B,Conocimiento sobre el código,Escritura,"Aspectos notacionais:
- divisão do texto em frases por meio de recursos do sistema de
pontuação: maiúscula inicial e ponto final (exclamação, interrogação
e reticências); e reunião das frases em parágrafos;
- separação, no texto, entre discurso direto e indireto e entre os turnos
do diálogo, utilizando travessão e dois pontos, ou aspas;
- indicação, por meio de vírgulas, das listas e enumerações no texto;
- estabelecimento das regularidades ortográficas (inferência das regras,
inclusive as da acentuação) e constatação de irregularidades (ausencia de regras);
- acentuação das palavras: regras gerais relacionadas à tonicidade (4° grado).","Utilização de marcas de segmentação em função do projeto textual: título e subtítulo; paragrafação; periodização; pontuação (ponto, vírgula, ponto-e-vírgula, dois-pontos, ponto-de-exclamação, ponto-de-interrogação, reticências); outros sinais gráficos (aspas, travessão, parênteses) (7° grado);"
BRA,br,50,33,Brasil,1,E,Procesos involucrados en la escritura,Escritura,"Produção de textos utilizando estratégias de escrita: planejar o texto, redigir rascunhos, revisar e cuidar da apresentação (4° grado).",Utilização de procedimentos diferenciados para a elaboração do texto: estabelecimento de tema; levantamento de idéias e dados; planejamento; rascunho; revisão (com intervenção do professor); versão final (7° grado).
BRA,br,8,17,Brasil,1,C,Escritura Diversidad Textual,Escritura,"Aspectos discursivos:
- organização das idéias de acordo com as características textuais de
cada gênero (…) (4° grado).",Redação de textos considerando suas condições de produção: finalidade; especificidade do gênero; lugares preferenciais de circulação; interlocutor eleito (7° grado).
BRA,br,8,0,Brasil,1,D,Morfosintaxis,Escritura,"Análise de regularidades da escrita: (…)
- concordância verbal e nominal (e outros aspectos que se mostrem
necessários a partir das dificuldades de redação) (…) (4° grado).",No hay ejemplos en el currículo de este país.
BRA,br,25,17,Brasil,1,A,Coherencia y cohesión,Escritura,"Aspectos discursivos: (…)
- utilização de recursos coesivos oferecidos pelo sistema de pontuação e pela introdução de conectivos mais adequados à linguagem escrita, expressões que marcam temporalidade e causalidade, substituições
lexicais, manutenção do tempo verbal, etc. (…) (4° grado).","Utilização de mecanismos discursivos e lingüísticos de coerência e coesão textuais, conforme o gênero e os propósitos do texto, desenvolvendo diferentes critérios:  de manutenção da continuidade do tema e ordenação de suas partes; de seleção apropriada do léxico em função do eixo temático; de manutenção do paralelismo sintático e/ou semântico; de suficiência (economia) e relevância dos tópicos e informações em relação ao tema e ao ponto de vista assumido; de avaliação da orientação e força dos argumentos; de propriedade dos recursos lingüísticos (repetição, retomadas, anáforas, conectivos) na expressão da relação entre constituintes do texto (7° grado)."
BRA,br,0,33,Brasil,1,C,Lectura Diversidad Textual,Lectura,No hay ejemplos en el currículo de este país.,"Articulação dos enunciados estabelecendo a progressão temática, em função das características das seqüências predominantes (narrativa, descritiva, expositiva, argumentativa e conversacional) e de suas especificidades no interior do gênero (7° grado)."
BRA,br,33,27,Brasil,1,A,Comprensión lectora literal e inferencial,Lectura,"Atribuição de sentido, coordenando texto e contexto (4° grado).","Estabelecimento de relações entre os diversos segmentos do próprio texto, entre o texto e outros textos diretamente implicados pelo primeiro, a partir de informações adicionais oferecidas pelo professor ou conseqüentes da história de leitura do sujeito (7° grado)."
BRA,br,50,13,Brasil,1,D,Estrategias de lectura,Lectura,Emprego dos dados obtidos por meio da leitura para confirmação ou retificação das suposições de sentido feitas anteriormente (4° grado).,"Emprego de estratégias não-lineares durante o processamento de leitura: formular hipóteses a respeito do conteúdo do texto, antes ou durante a leitura; validar ou reformular as hipóteses levantadas a partir das novas informações obtidas durante o processo da leitura; avançar ou retroceder durante a leitura em busca de informações esclarecedoras; construir sínteses parciais de partes do texto para poder prosseguir na leitura; inferir o sentido de palavras a partir do contexto; consultar outras fontes em busca de informações complementares (dicionários, enciclopédias, outro leitor) (7° grado)."
BRA,br,0,0,Brasil,1,B,Decodificación,Lectura,No hay ejemplos en el currículo de este país.,No hay ejemplos en el currículo de este país.
BRA,br,17,27,Brasil,1,E,Reflexión y evaluación,Lectura,"Análise dos sentidos atribuídos a um texto nas diferentes leituras
individuais e discussão dos elementos do texto que validem ou não essas diferentes atribuições de sentido (4° grado).","Levantamento e análise de indicadores lingüísticos e extralingüísticos presentes no texto para identificar as varias vozes do discurso e o ponto de vista que determina o tratamento dado ao conteúdo, com a finalidade de: confrontá-lo com o de outros textos; confrontá-lo com outras opiniões; posicionar-se criticamente diante dele (7° grado)"
BRA,br,,20,Brasil,1,A,"Ciencia, tecnología y sociedad",Ciencias,No hay ejemplos en el currículo de este país.,"Investigação dos modos de conservação de alimentos cozimento, adição de substâncias, refrigeração e desidratação quanto ao modo de atuação específico, à importância social histórica e local, descrevendo processos industriais e artesanais para este fim."
BRA,br,,20,Brasil,1,B,Cuerpo humano y salud,Ciencias,No hay ejemplos en el currículo de este país.,"Compreensão de processos envolvidos na nutrição do organismo estabelecendo relações entre os fenômenos da digestão dos alimentos, a absorção de nutrientes e sua distribuição pela circulação sangüínea para todos os tecidos do organismo."
BRA,br,,16,Brasil,1,C,Ecología y medioambiente,Ciencias,No hay ejemplos en el currículo de este país.,Investigação da diversidade dos seres vivos compreendendo cadeias alimentares e características adaptativas dos seres vivos.    
BRA,br,,0,Brasil,1,D,La energía y sus manifestaciones,Ciencias,No hay ejemplos en el currículo de este país.,No hay ejemplos en el currículo de este país.
BRA,br,,4,Brasil,1,E,La materia y sus transformaciones,Ciencias,No hay ejemplos en el currículo de este país.,
BRA,br,,12,Brasil,1,G,Seres vivos,Ciencias,No hay ejemplos en el currículo de este país.,Seres vivos e as condições para a vida.
BRA,br,,28,Brasil,1,F,La tierra y el universo,Ciencias,No hay ejemplos en el currículo de este país.,"Sistema solar – corpos celestes, tamanho relativo e distância da Terra (Lua, Sol, Planetas).  
Elementos astronômicos visíveis."
BRA,br,9,9,Promedio América Latina,1,A,Estadística y probabilidad,Matemáticas,,
BRA,br,21,23,Promedio América Latina,1,B,Geometría,Matemáticas,,
BRA,br,22,18,Promedio América Latina,1,C,Magnitudes y medidas,Matemáticas,,
BRA,br,43,47,Promedio América Latina,1,D,Número y operaciones,Matemáticas,,
BRA,br,5,4,Promedio América Latina,1,E,Patrones y álgebra,Matemáticas,,
BRA,br,29,29,Promedio América Latina,1,B,Conocimiento sobre el código,Escritura,,
BRA,br,26,23,Promedio América Latina,1,E,Procesos involucrados en la escritura,Escritura,,
BRA,br,21,23,Promedio América Latina,1,C,Escritura Diversidad Textual,Escritura,,
BRA,br,15,15,Promedio América Latina,1,D,Morfosintaxis,Escritura,,
BRA,br,9,9,Promedio América Latina,1,A,Coherencia y cohesión,Escritura,,
BRA,br,34,39,Promedio América Latina,1,C,Lectura Diversidad Textual,Lectura,,
BRA,br,27,23,Promedio América Latina,1,A,Comprensión lectora literal e inferencial,Lectura,,
BRA,br,20,19,Promedio América Latina,1,D,Estrategias de lectura,Lectura,,
BRA,br,11,4,Promedio América Latina,1,B,Decodificación,Lectura,,
BRA,br,8,14,Promedio América Latina,1,E,Reflexión y evaluación,Lectura,,
BRA,br,,17,Promedio América Latina,1,A,"Ciencia, tecnología y sociedad",Ciencias,,
BRA,br,,23,Promedio América Latina,1,B,Cuerpo humano y salud,Ciencias,,
BRA,br,,12,Promedio América Latina,1,C,Ecología y medioambiente,Ciencias,,
BRA,br,,11,Promedio América Latina,1,D,La energía y sus manifestaciones,Ciencias,,
BRA,br,,7,Promedio América Latina,1,E,La materia y sus transformaciones,Ciencias,,
BRA,br,,13,Promedio América Latina,1,G,Seres vivos,Ciencias,,
BRA,br,,17,Promedio América Latina,1,F,La tierra y el universo,Ciencias,,
CHL,cl,19,15,Chile,1,A,Estadística y probabilidad,Matemáticas,"Realizar encuestas, clasificar y organizar los datos obtenidos en tablas y visualizarlos en gráficos de barra.
(3° grado)","Comparar distribuciones de dos grupos, provenientes de muestras aleatorias, usando diagramas de puntos y de tallo y hojas.
(6° grado)"
CHL,cl,19,31,Chile,1,B,Geometría,Matemáticas,"Describir cubos, paralelepípedos, esferas, conos, cilindros y pirámides de acuerdo con la forma de sus caras y el número de aristas y vértices.
(3° grado)","Construir y comparar triángulos de acuerdo a la medida de sus lados y/o sus ángulos con instrumentos geométricos o software geométrico.
(6° grado)"
CHL,cl,19,8,Chile,1,C,Magnitudes y medidas,Matemáticas,"Leer y registrar el tiempo en horas, medias horas, cuartos de hora y minutos en relojes análogos y digitales.
(3° grado)","Calcular el volumen de cubos y paralelepípedos, expresando el resultado en cm3, m3 y mm3.
(6° grado)"
CHL,cl,37,35,Chile,1,D,Número y operaciones,Matemáticas,"Comparar y ordenar números naturales hasta 1., utilizando la recta numérica o la tabla posicional de manera manual y/o por medio de software educativo.
(3° grado)","Demostrar que comprenden los factores y los múltiplos determinando los múltiplos y los factores de números naturales menores de 1.
(6° grado)"
