pais,cod_pais,grado,dominio,estimulo,indicador,variable,grupo,asterisco,categoria_1,categoria_2,categoria_3,categoria_4,porcentaje_acuerdo,nota
Argentina,ar,3,Convenciones de legibilidad,Carta,Ortografía inicial,Ruralidad,Zona Urbana,0,6.62,14.40,46.58,32.41,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Convenciones de legibilidad,Carta,Ortografía inicial,Ruralidad,Zona Rural,0,14.38,14.55,45.96,25.11,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Convenciones de legibilidad,Carta,Puntuación,Sexo,Niños,0,57.56,4.23,2.20,36.01,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Convenciones de legibilidad,Carta,Puntuación,Sexo,Niñas,0,40.17,4.93,3.24,51.66,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Convenciones de legibilidad,Carta,Puntuación,Ruralidad,Zona Urbana,0,48.77,4.15,2.84,44.23,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Convenciones de legibilidad,Carta,Puntuación,Ruralidad,Zona Rural,0,49.07,8.63,1.56,40.74,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Convenciones de legibilidad,Baile,Ortografía inicial,Nacional,País,1,3.30,8.40,47.40,40.90,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Convenciones de legibilidad,Baile,Puntuación,Nacional,País,0,48.30,3.80,3.10,44.70,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Convenciones de legibilidad,Carta,Ortografía inicial,Nacional,País,0,7.40,14.40,46.50,31.70,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Convenciones de legibilidad,Carta,Puntuación,Nacional,País,0,48.80,4.60,2.70,43.90,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Discursivo,Baile,Género,Sexo,Niños,0,41.66,29.56,17.39,11.39,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Discursivo,Baile,Género,Sexo,Niñas,0,40.46,28.78,17.36,13.39,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Discursivo,Baile,Género,Ruralidad,Zona Urbana,0,42.76,28.06,16.57,12.60,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Discursivo,Baile,Género,Ruralidad,Zona Rural,0,25.14,39.28,24.42,11.16,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Discursivo,Baile,Género,Nacional,País,1,41.00,29.20,17.40,12.50,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Discursivo,Baile,Propósito y adecuación a la consigna,Sexo,Niños,0,37.79,28.62,9.48,24.11,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Discursivo,Baile,Propósito y adecuación a la consigna,Sexo,Niñas,0,35.97,27.74,10.38,25.91,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Discursivo,Baile,Propósito y adecuación a la consigna,Ruralidad,Zona Urbana,0,38.64,27.44,9.64,24.28,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Discursivo,Baile,Propósito y adecuación a la consigna,Ruralidad,Zona Rural,0,20.22,34.24,13.44,32.09,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Discursivo,Baile,Propósito y adecuación a la consigna,Nacional,País,1,36.80,28.10,10.00,25.10,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Discursivo,Carta,Género,Sexo,Niños,0,41.90,8.96,24.29,24.85,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Discursivo,Carta,Género,Sexo,Niñas,0,28.36,7.38,21.45,42.81,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Discursivo,Carta,Género,Ruralidad,Zona Urbana,0,35.30,8.17,22.46,34.06,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Discursivo,Carta,Género,Ruralidad,Zona Rural,0,32.49,8.03,26.97,32.51,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Discursivo,Carta,Género,Nacional,País,0,35.00,8.20,22.90,33.90,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Discursivo,Carta,Propósito y adecuación a la consigna,Sexo,Niños,0,18.87,18.64,22.83,39.66,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Discursivo,Carta,Propósito y adecuación a la consigna,Sexo,Niñas,0,15.21,16.63,17.08,51.08,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Discursivo,Carta,Propósito y adecuación a la consigna,Ruralidad,Zona Urbana,0,18.87,18.64,22.83,39.66,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Discursivo,Carta,Propósito y adecuación a la consigna,Ruralidad,Zona Rural,0,22.38,18.93,19.11,39.57,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Discursivo,Carta,Propósito y adecuación a la consigna,Nacional,País,1,17.00,17.60,19.90,45.50,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Textual,Baile,Coherencia global,Sexo,Niños,0,1.96,2.38,11.85,83.81,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Textual,Baile,Coherencia global,Sexo,Niñas,0,0.42,2.59,11.23,85.77,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Textual,Baile,Coherencia global,Ruralidad,Zona Urbana,0,1.26,2.36,11.47,84.92,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Textual,Baile,Coherencia global,Ruralidad,Zona Rural,0,0.00,3.66,11.88,84.46,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Textual,Baile,Coherencia global,Nacional,País,0,1.10,2.50,11.50,84.90,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Textual,Baile,Cohesión,Sexo,Niños,0,0.62,2.09,21.63,75.66,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Textual,Baile,Cohesión,Sexo,Niñas,0,0.51,2.65,19.59,77.25,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Textual,Baile,Cohesión,Ruralidad,Zona Urbana,0,0.62,2.43,20.75,76.20,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Textual,Baile,Cohesión,Ruralidad,Zona Rural,0,0.00,2.04,18.44,79.52,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Textual,Baile,Cohesión,Nacional,País,0,0.60,2.40,20.50,76.50,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Textual,Baile,Concordancia,Sexo,Niños,0,0.36,2.62,25.48,71.54,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Textual,Baile,Concordancia,Sexo,Niñas,0,0.24,4.60,27.82,67.34,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Textual,Baile,Concordancia,Ruralidad,Zona Urbana,0,0.33,3.31,25.49,70.87,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Textual,Baile,Concordancia,Ruralidad,Zona Rural,0,0.00,7.04,37.67,55.29,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Textual,Baile,Concordancia,Nacional,País,0,0.30,3.70,26.70,69.30,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Textual,Baile,Vocabulario,Sexo,Niños,0,0.00,0.43,6.42,93.16,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Textual,Baile,Vocabulario,Sexo,Niñas,0,0.00,0.29,7.98,91.73,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Textual,Baile,Vocabulario,Ruralidad,Zona Urbana,0,0.00,0.39,7.23,92.37,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Textual,Baile,Vocabulario,Ruralidad,Zona Rural,0,0.00,0.00,7.42,92.58,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Textual,Baile,Vocabulario,Nacional,País,0,0.00,0.40,7.30,92.40,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Textual,Carta,Coherencia global,Sexo,Niños,0,3.40,4.18,10.84,81.58,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Textual,Carta,Coherencia global,Sexo,Niñas,0,1.84,3.73,10.47,83.97,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Textual,Carta,Coherencia global,Ruralidad,Zona Urbana,0,2.47,3.57,10.46,83.50,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Textual,Carta,Coherencia global,Ruralidad,Zona Rural,0,3.96,7.53,12.37,76.14,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Textual,Carta,Coherencia global,Nacional,País,0,2.60,3.90,10.60,82.80,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Textual,Carta,Cohesión,Sexo,Niños,0,1.83,3.25,19.49,75.44,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Textual,Carta,Cohesión,Sexo,Niñas,0,0.58,2.57,18.54,78.31,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
Argentina,ar,3,Textual,Carta,Cohesión,Ruralidad,Zona Urbana,0,1.11,3.03,18.28,77.58,16.2,"Nota: En los gráficos se excluye el 16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto.16.2% de estudiantes del país cuyas respuestas no pudieron ser codificadas con la rúbrica por estar en blanco, estar en otra lengua o no ser un texto."
