"cod_pais","pais","dato_pais_grado_3","dato_pais_grado_6","dato_grupo_grado_3","dato_grupo_grado_6","dato_region_grado_3","dato_region_grado_6","letra_magn","letra_ord","materia","nombre_categoria","descripcion_categoria","ej_3grado","ej_6grado","grupo","region"
"ar","Argentina","20.00","16.67","28.00","24.00","25.64","23.28","1.00","E","Escritura","Procesos involucrados en la escritura","Procesos cognitivos involucrados en la producci??n escrita, como la planificaci??n, textualizaci??n, revisi??n y reescritura de un texto, memoria de trabajo. Estos procesos suelen ser recursivos.","La escritura asidua de diversos textos (???) en el marco de condiciones que permitan discutir y consensuar el prop??sito, idear el contenido con el maestro, redactar y releer borradores del texto (revisando su organizaci??n, la ortograf??a y la puntuaci??n) y reformularlo conjuntamente a partir de las orientaciones del docente (3?? grado).","La escritura de textos en el marco de condiciones que permitan conjuntamente con el docente, sus pares y/o de manera individual, planificar el texto en funci??n de los par??metros de la situaci??n comunicativa y del texto elegido y, de ser necesario, consultar material bibliogr??fico, vincular la informaci??n presente en los textos de consulta, seleccionando de cada uno lo relevante o distintivo, tomar notas jerarquizando la informaci??n e identificando las fuentes de consulta; redactar realizando por lo menos un borrador del texto previamente planificado; revisar el texto, concentr??ndose selectivamente en algunos aspectos (???). Reformular el escrito, conjuntamente con el docente, sus pares o en forma individual, a partir de las orientaciones del primero (6?? grado).","Sudam??rica","Am??rica Latina y el Caribe"
"ar","Argentina","42.86","22.22","31.00","19.00","27.02","22.93","1.00","A","Lectura","Comprensi??n lectora literal e inferencial","Identificaci??n de informaci??n expl??cita en el texto (comprensi??n literal) e inferencias realizadas para identificar informaci??n sugerida, no expl??cita, en el texto (comprensi??n inferencial).","La comprensi??n de textos explicativos le??dos en colaboraci??n con el docente (3?? grado).","(???) relacionar los datos del texto con sus conocimientos; realizar inferencias; detectar la informaci??n relevante; establecer relaciones entre el texto, las ilustraciones y/o los esquemas que puedan acompa??arlo; inferir el significado de las palabras desconocidas (???) (6?? grado).","Sudam??rica","Am??rica Latina y el Caribe"
"ar","Argentina","14.29","11.11","8.00","4.00","10.70","4.00","1.00","B","Lectura","Decodificaci??n","Proceso de asociaci??n entre fonemas (sonidos) y grafemas (letras) que permite la lectura de palabras. Abarca conciencia fonol??gica, precisi??n, fluidez y prosodia.","El uso de signos de puntuaci??n para la lectura y la escritura de textos: punto (y uso de may??sculas despu??s del punto), coma en enumeraci??n y signos de interrogaci??n y exclamaci??n (3?? grado).","(???) Leer con fluidez frente a un auditorio en situaciones que le den sentido a esta pr??ctica (6?? a??o).","Sudam??rica","Am??rica Latina y el Caribe"
"ar","Argentina","42.86","22.22","33.00","40.00","33.70","39.14","1.00","C","Lectura","Lectura Diversidad Textual","Lectura de diversos tipos y g??neros textuales. Estos tipos textuales y g??neros tienen diferentes prop??sitos comunicativos y formas de organizar la informaci??n (cuento, an??cdota, comic, art??culo, opini??n, etc.).","La lectura asidua de textos le??dos por ellos (en silencio o en voz alta) o por el docente y otros adultos en voz alta (de manera habitual y sistem??tica): cuentos, f??bulas, leyendas y otros textos narrativos literarios; poes??as, coplas, adivinanzas, y otros g??neros po??ticos; y de textos no literarios como descubrimientos, historias de vida, descripciones de objetos, animales, personas, lugares y procesos, notas de enciclopedia sobre diferentes contenidos que se est??n estudiando o sobre temas de inter??s para los ni??os, entre otros (3?? grado).","La lectura (comprensi??n y disfrute) de obras literarias de tradici??n oral (relatos, cuentos, mitos, f??bulas, leyendas, par??bolas, romances, coplas, entre otras) y de obras literarias de autor (novelas, cuentos, relatos, poes??as, canciones, obras de teatro, entre otras) para (???) realizar interpretaciones personales teniendo en cuenta los indicios que da el texto y las caracter??sticas del g??nero al que pertenece (???) (6?? grado).","Sudam??rica","Am??rica Latina y el Caribe"
"ar","Argentina","0.00","11.11","18.00","15.00","20.28","19.44","1.00","D","Lectura","Estrategias de lectura","Estrategias que usa el lector para comprender un texto (de relectura, de monitoreo de la comprensi??n, de anticipaci??n, o hip??tesis acerca del contenido de un texto, etc.).","No hay ejemplos en el curr??culo de este pa??s.","(???) poner en juego, con la colaboraci??n del docente, estrategias de lectura adecuadas a la clase de texto y al prop??sito de la lectura (???); reconocer procedimientos propios del texto le??do y emplear diversas estrategias para recuperar posteriormente la informaci??n relevante de manera resumida seg??n el prop??sito (???). Monitorear los propios procesos de comprensi??n, recuperando lo que se entiende e identificando y buscando mejorar la comprensi??n de lo que no se ha entendido, a trav??s de preguntas al docente y la relectura (6?? grado).","Sudam??rica","Am??rica Latina y el Caribe"
"ar","Argentina","0.00","33.33","11.00","22.00","8.28","14.46","1.00","E","Lectura","Reflexi??n y evaluaci??n","Reflexi??n, valoraci??n y cr??tica del texto por parte del lector. Esto permite identificar el prop??sito comunicativo y puntos de vista del texto, evaluar la funcionalidad de sus elementos formular juicios sobre ??l a nivel de contenido y forma.","No hay ejemplos en el curr??culo de este pa??s.","(???) realizar interpretaciones personales teniendo en cuenta los indicios que da el texto y las caracter??sticas del g??nero al que pertenece, como tambi??n expresar las emociones y sentimientos que genera la obra y compartir significados con otros lectores (sus pares, el docente, otros adultos); formarse como lector de literatura (6?? grado).","Sudam??rica","Am??rica Latina y el Caribe"
"ar","Argentina","5.90","3.40","11.00","12.00","9.37","8.99","1.00","A","Matem??tica","Estad??stica y probabilidad","Lectura e interpretaci??n de datos estad??sticos a partir de su representaci??n en tablas, gr??ficos, pictogramas y diagramas. Habilidad de organizar datos recolectados en tablas, gr??ficos, pictogramas y diagramas.","Elaborar preguntas o enunciados de problemas y registrar y organizar datos en tablas y gr??ficos sencillos a partir de distintas informaciones. (3?? grado)","Interpretar y organizar informaci??n presentada en textos, tablas y distintos tipos de gr??ficos, incluyendo los estad??sticos. (6?? grado)","Sudam??rica","Am??rica Latina y el Caribe"
"ar","Argentina","23.50","27.60","20.00","25.00","20.93","22.56","1.00","B","Matem??tica","Geometr??a","Conocimiento de las figuras y cuerpos geom??tricos, su caracterizaci??n, clasificaci??n y construcci??n. Capacidad de establecer relaciones entre ellos y el entorno.","Figuras y Cuerpos geom??tricos: caracter??sticas, n??mero de lados o v??rtices, la presencia de bordes curvos o rectos, la igualdad de la medida de sus lados, forma y n??mero de caras. (3?? grado)","Composici??n y descomposici??n de figuras geom??tricas. (6?? grado)","Sudam??rica","Am??rica Latina y el Caribe"
"ar","Argentina","11.80","17.20","19.00","16.00","21.71","18.19","1.00","C","Matem??tica","Magnitudes y medidas","Conocimiento de distintas magnitudes, y de sus distintas unidades de medidas. Capacidad de realizar conversiones y de utilizarlas de acuerdo al contexto.Conocimiento y uso adecuado de distintos instrumentos de medici??n.","Unidades de medida de longitud, capacidades y pesos, de uso frecuente y medios y cuartos de esas unidades. (3?? grado)","Unidades de medida: pertinencia. (6?? grado)","Sudam??rica","Am??rica Latina y el Caribe"
"ar","Argentina","58.80","48.30","45.00","42.00","43.17","46.66","1.00","D","Matem??tica","N??mero y operaciones","Conocimiento de los conjuntos de los n??meros naturales y de los n??meros racionales positivos. C??lculo de las operaciones de adici??n, sustracci??n, multiplicaci??n y divisi??n en esos conjuntos; aplicaci??n de sus propiedades y relaciones.","Analizar el valor posicional en contextos significativos al leer, escribir, comparar n??meros de una, dos, tres, cuatro y m??s cifras y al operar con ellos. (3?? grado)","Analizar afirmaciones sobre las relaciones y propiedades que diferencian los n??meros naturales de las fracciones y las expresiones decimales. (6?? grado)","Sudam??rica","Am??rica Latina y el Caribe"
"ar","Argentina","0.00","3.40","5.00","4.00","4.82","3.61","1.00","E","Matem??tica","Patrones y ??lgebra","Capacidad de identificar, completar y construir regularidades num??ricas y gr??ficas a partir de objetos del entorno, figuras geom??tricas y secuencias num??ricas. Conocimiento para plantear y resolver ecuaciones simples de una variable.","No hay ejemplos en el curr??culo de este pa??s.","Analizar relaciones entre cantidades y n??meros para determinar y describir regularidades, incluyendo el caso de la proporcionalidad. (6?? grado)","Sudam??rica","Am??rica Latina y el Caribe"
"bo","Bolivia","","9.10","","16.00","","16.51","1.00","A","Ciencias","Ciencia, tecnolog??a y sociedad","Refiere a la ciencia y la tecnolog??a como construcciones humanas influenciadas por el contexto sociocultural, pol??tico y econ??mico. Incluye temas relativos al impacto de la ciencia y la tecnolog??a en la salud y en el medio ambiente.","","Alteraciones gen??ticas en la producci??n de plantas y animales: Alimentos transg??nicos y sus consecuencias.","Sudam??rica","Am??rica Latina y el Caribe"
"bo","Bolivia","","39.40","","17.00","","22.54","1.00","B","Ciencias","Cuerpo humano y salud","Conocimiento parcial del cuerpo humano, y comprensi??n de aspectos vinculados a su desarrollo, crecimiento y equilibrio; estructuras y funciones de los sistemas de ??rganos; conocimiento sobre la importancia de la salud para el bienestar general.","","Trastornos y desequilibrios alimenticios: Desnutrici??n, obesidad, bulimia, anorexia.","Sudam??rica","Am??rica Latina y el Caribe"
"bo","Bolivia","","9.10","","14.00","","12.19","1.00","C","Ciencias","Ecolog??a y medioambiente","Nociones y conceptos relativos a la biodiversidad, ecosistema y equilibrio ecol??gico en relaci??n con los recursos naturales y su importancia para la vida en el planeta, adem??s de la noci??n de cadena tr??fica, su din??mica general y relevancia.","","Biodiversidad: recuperaci??n y cuidado de especies en extinci??n.","Sudam??rica","Am??rica Latina y el Caribe"
"bo","Bolivia","","0.00","","12.00","","11.16","1.00","D","Ciencias","La energ??a y sus manifestaciones","Conocimientos de la noci??n de energ??a. Incluye el calor como una transferencia de energ??a; manifestaciones de energ??a en el planeta; y la noci??n de fuerza.","","No hay ejemplos en el curr??culo de este pa??s.","Sudam??rica","Am??rica Latina y el Caribe"
"bo","Bolivia","","0.00","","11.00","","7.41","1.00","E","Ciencias","La materia y sus transformaciones","Conocimientos de la estructura at??mica y molecular y algunos estados de agregaci??n.Clasificaci??n de los materiales en sustancias puras o mezclas, y descripci??n de algunos m??todos de separaci??n.","","No hay ejemplos en el curr??culo de este pa??s.","Sudam??rica","Am??rica Latina y el Caribe"
"bo","Bolivia","","33.30","","18.00","","17.42","1.00","F","Ciencias","La tierra y el universo","Conocimiento de las capas de la Tierra, su composici??n y din??mica; movimientos ???externos??? del planeta; fen??menos naturales Incluye la noci??n de Sistema Solar; el conocimiento de los planetas y de la Luna.","","L??neas imaginarias del planeta Tierra: Posiciones astron??micas, meridiano, paralelas, latitudes, longitudes.","Sudam??rica","Am??rica Latina y el Caribe"
"bo","Bolivia","","9.10","","12.00","","12.78","1.00","G","Ciencias","Seres vivos","Conocimiento sobre el ciclo de vida en los seres vivos, as?? como la noci??n de c??lula, particularmente, de su estructura y funci??n en los seres vivos.","","Microcosmos: c??lula como unidad de vida, estructura y sus funciones biol??gicas.","Sudam??rica","Am??rica Latina y el Caribe"
"bo","Bolivia","0.00","0.00","14.00","13.00","8.75","9.26","1.00","A","Escritura","Coherencia y cohesi??n","Caracter??sticas que permiten construir el sentido global del texto, tales como la presencia de una idea central sin ideas inconexas (coherencia) y uso de recursos ling????sticos para mantener las oraciones unidas (cohesi??n).","No hay ejemplos en el curr??culo de este pa??s.","No hay ejemplos en el curr??culo de este pa??s.","Sudam??rica","Am??rica Latina y el Caribe"
"bo","Bolivia","15.00","21.05","27.00","30.00","29.33","28.82","1.00","B","Escritura","Conocimiento sobre el c??digo","Conocimiento del sistema alfab??tico, de grafemas (letras) y fonemas (sonidos). Tambi??n considera aspectos caligr??ficos y ortogr??ficos, y relaciones de significado, (sin??nimos y ant??nimos).","Libreto sobre tem??tica ambiental para t??teres elaborado de manera colectiva (???). Construcci??n colectiva de libreto sobre temas de manejo equilibrado de los recursos de la naturaleza de la provincia identificando hiatos y diptongos, para la presentaci??n de t??teres o marionetas (3?? grado).","Pr??stamos ling????sticos de la diversidad cultural en la expresi??n oral y escrita (6?? grado).","Sudam??rica","Am??rica Latina y el Caribe"
"bo","Bolivia","45.00","42.11","18.00","22.00","20.87","23.47","1.00","C","Escritura","Escritura Diversidad Textual","Escritura de diversos tipos textuales, los que tienen diferentes prop??sitos comunicativos y formas de organizar la informaci??n seg??n g??nero (cuento, an??cdota, comic, art??culo, etc.)","Acontecimientos socioculturales de la provincia: Pr??cticas orales y escritas (exposiciones, entrevistas, discursos y di??logos) (3?? grado).","Texto expositivo sobre el calentamiento global: Escritura de un art??culo con el uso de g??nero, numero, modo y tiempo en la oraci??n (6?? grado).","Sudam??rica","Am??rica Latina y el Caribe"
"bo","Bolivia","10.00","10.53","13.00","10.00","15.47","15.10","1.00","D","Escritura","Morfosintaxis","Es lo que se entiende por gram??tica. Comprende la morfolog??a, el estudio de clases de palabras (sustantivo, verbo, etc.) y su flexi??n. Tambi??n considera la sintaxis: funciones que adquieren las palabras en una oraci??n (sujeto, verbo, complementos).","Textos narrativos imaginarios y reales del municipio y provincia, identificando sustantivos y adjetivos (3?? grado).","Texto expositivo sobre el calentamiento global: Escritura de un art??culo con el uso de g??nero, numero, modo y tiempo en la oraci??n (6?? grado).","Sudam??rica","Am??rica Latina y el Caribe"
"bo","Bolivia","30.00","26.32","28.00","24.00","25.64","23.28","1.00","E","Escritura","Procesos involucrados en la escritura","Procesos cognitivos involucrados en la producci??n escrita, como la planificaci??n, textualizaci??n, revisi??n y reescritura de un texto, memoria de trabajo. Estos procesos suelen ser recursivos.","Libreto sobre tem??tica ambiental para t??teres elaborado de manera colectiva (???). Presentaci??n de t??teres y exposici??n de libretos sobre temas ambientales, transcritos e ilustrados en el programa Word ???Paint (3?? grado).","Caracter??sticas y t??cnicas de producci??n (???) de textos informativos (oficios, actas, votos resolutivos y convocatorias) y po??ticos relacionados con la Madre Tierra.","Sudam??rica","Am??rica Latina y el Caribe"
"bo","Bolivia","8.33","9.52","31.00","19.00","27.02","22.93","1.00","A","Lectura","Comprensi??n lectora literal e inferencial","Identificaci??n de informaci??n expl??cita en el texto (comprensi??n literal) e inferencias realizadas para identificar informaci??n sugerida, no expl??cita, en el texto (comprensi??n inferencial).","Conjuntos musicales e interpretaci??n de canciones relacionadas a las actividades socioculturales del municipio y provincia (3?? grado).","Mitos y leyendas del Abya Yala: Lectura e interpretaci??n con la identificaci??n de oraciones simples (6?? grado).","Sudam??rica","Am??rica Latina y el Caribe"
"bo","Bolivia","0.00","0.00","8.00","4.00","10.70","4.00","1.00","B","Lectura","Decodificaci??n","Proceso de asociaci??n entre fonemas (sonidos) y grafemas (letras) que permite la lectura de palabras. Abarca conciencia fonol??gica, precisi??n, fluidez y prosodia.","No hay ejemplos en el curr??culo de este pa??s.","No hay ejemplos en el curr??culo de este pa??s.","Sudam??rica","Am??rica Latina y el Caribe"
"bo","Bolivia","75.00","85.71","33.00","40.00","33.70","39.14","1.00","C","Lectura","Lectura Diversidad Textual","Lectura de diversos tipos y g??neros textuales. Estos tipos textuales y g??neros tienen diferentes prop??sitos comunicativos y formas de organizar la informaci??n (cuento, an??cdota, comic, art??culo, opini??n, etc.).","Textos comunicativos usados en las relaciones sociales y culturales: La carta, peri??dicos murales e instructivos (3?? grado).","Caracter??sticas y t??cnicas de producci??n, lectura y exposici??n de textos informativos (oficios, actas, votos resolutivos y convocatorias) y po??ticos relacionados con la Madre Tierra (6?? grado).","Sudam??rica","Am??rica Latina y el Caribe"
"bo","Bolivia","0.00","0.00","18.00","15.00","20.28","19.44","1.00","D","Lectura","Estrategias de lectura","Estrategias que usa el lector para comprender un texto (de relectura, de monitoreo de la comprensi??n, de anticipaci??n, o hip??tesis acerca del contenido de un texto, etc.).","No hay ejemplos en el curr??culo de este pa??s.","No hay ejemplos en el curr??culo de este pa??s.","Sudam??rica","Am??rica Latina y el Caribe"
"bo","Bolivia","16.67","4.76","11.00","22.00","8.28","14.46","1.00","E","Lectura","Reflexi??n y evaluaci??n","Reflexi??n, valoraci??n y cr??tica del texto por parte del lector. Esto permite identificar el prop??sito comunicativo y puntos de vista del texto, evaluar la funcionalidad de sus elementos formular juicios sobre ??l a nivel de contenido y forma.","Funci??n social de los medios de comunicaci??n: Veracidad e imparcialidad (3?? grado).","Sucesos hist??ricos y actuales: Intenciones comunicativas y caracter??sticas ling????sticas (6?? grado).","Sudam??rica","Am??rica Latina y el Caribe"
"bo","Bolivia","3.10","3.20","11.00","12.00","9.37","8.99","1.00","A","Matem??tica","Estad??stica y probabilidad","Lectura e interpretaci??n de datos estad??sticos a partir de su representaci??n en tablas, gr??ficos, pictogramas y diagramas. Habilidad de organizar datos recolectados en tablas, gr??ficos, pictogramas y diagramas.","Datos estad??sticos representaci??n pictogr??fica de n??meros naturales hasta el 1. (3?? grado)","Tablas estad??sticas: Lineales, circulares y de barra. (6?? grado)","Sudam??rica","Am??rica Latina y el Caribe"
"bo","Bolivia","25.00","48.40","20.00","25.00","20.93","22.56","1.00","B","Matem??tica","Geometr??a","Conocimiento de las figuras y cuerpos geom??tricos, su caracterizaci??n, clasificaci??n y construcci??n. Capacidad de establecer relaciones entre ellos y el entorno.","Construir y copiar modelos hechos con formas bi y tridimensionales, con diferentes formas y materiales (Ej.: tipos de papel e instrumentos). (3?? grado)","Descripci??n y explicaci??n de los cuerpos geom??tricos, medidas, ??ngulos, uso de n??meros naturales y las potencias, ra??ces y propiedades en las aplicaciones tecnol??gicas. (6?? grado)","Sudam??rica","Am??rica Latina y el Caribe"
"bo","Bolivia","18.80","9.70","19.00","16.00","21.71","18.19","1.00","C","Matem??tica","Magnitudes y medidas","Conocimiento de distintas magnitudes, y de sus distintas unidades de medidas. Capacidad de realizar conversiones y de utilizarlas de acuerdo al contexto.Conocimiento y uso adecuado de distintos instrumentos de medici??n.","Relaci??n de equivalencias en fracciones de medidas de peso, longitud y capacidad. (3?? grado)","Unidad de medidas de volumen. (6?? grado)","Sudam??rica","Am??rica Latina y el Caribe"
"bo","Bolivia","53.10","38.70","45.00","42.00","43.17","46.66","1.00","D","Matem??tica","N??mero y operaciones","Conocimiento de los conjuntos de los n??meros naturales y de los n??meros racionales positivos. C??lculo de las operaciones de adici??n, sustracci??n, multiplicaci??n y divisi??n en esos conjuntos; aplicaci??n de sus propiedades y relaciones.","Aplicar la multiplicaci??n en la resoluci??n de problemas en actividades comerciales. (3?? grado).","Potencias y sus propiedades en diversas aplicaciones tecnol??gicas. (6?? grado).","Sudam??rica","Am??rica Latina y el Caribe"
"bo","Bolivia","0.00","0.00","5.00","4.00","4.82","3.61","1.00","E","Matem??tica","Patrones y ??lgebra","Capacidad de identificar, completar y construir regularidades num??ricas y gr??ficas a partir de objetos del entorno, figuras geom??tricas y secuencias num??ricas. Conocimiento para plantear y resolver ecuaciones simples de una variable.","No hay ejemplos en el curr??culo de este pa??s.","No hay ejemplos en el curr??culo de este pa??s.","Sudam??rica","Am??rica Latina y el Caribe"
"br","Brasil","","20.00","","16.00","","16.51","1.00","A","Ciencias","Ciencia, tecnolog??a y sociedad","Refiere a la ciencia y la tecnolog??a como construcciones humanas influenciadas por el contexto sociocultural, pol??tico y econ??mico. Incluye temas relativos al impacto de la ciencia y la tecnolog??a en la salud y en el medio ambiente.","","Investiga????o dos modos de conserva????o de alimentos cozimento, adi????o de subst??ncias, refrigera????o e desidrata????o quanto ao modo de atua????o espec??fico, ?? import??ncia social hist??rica e local, descrevendo processos industriais e artesanais para este fim.","Sudam??rica","Am??rica Latina y el Caribe"
"br","Brasil","","20.00","","17.00","","22.54","1.00","B","Ciencias","Cuerpo humano y salud","Conocimiento parcial del cuerpo humano, y comprensi??n de aspectos vinculados a su desarrollo, crecimiento y equilibrio; estructuras y funciones de los sistemas de ??rganos; conocimiento sobre la importancia de la salud para el bienestar general.","","Compreens??o de processos envolvidos na nutri????o do organismo estabelecendo rela????es entre os fen??menos da digest??o dos alimentos, a absor????o de nutrientes e sua distribui????o pela circula????o sang????nea para todos os tecidos do organismo.","Sudam??rica","Am??rica Latina y el Caribe"
"br","Brasil","","16.00","","14.00","","12.19","1.00","C","Ciencias","Ecolog??a y medioambiente","Nociones y conceptos relativos a la biodiversidad, ecosistema y equilibrio ecol??gico en relaci??n con los recursos naturales y su importancia para la vida en el planeta, adem??s de la noci??n de cadena tr??fica, su din??mica general y relevancia.","","Investiga????o da diversidade dos seres vivos compreendendo cadeias alimentares e caracter??sticas adaptativas dos seres vivos.","Sudam??rica","Am??rica Latina y el Caribe"
